venue,year,doi,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.224,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.225,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.228,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.230,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.231,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.235,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.236,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.242,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.243,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.244,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.245,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.246,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.248,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.249,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.252,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.254,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.258,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.259,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.260,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.261,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.189,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.192,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.193,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.196,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.197,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.199,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.204,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.205,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.207,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.208,,,,,,,,,,
